Original,Translate_de_1,Translate_de_2
"Ancor v’era   Humiltate, e Pacienza,","Es gab auch Demut und Geduld,",Es gab auch Bescheidenheit und Selbstbewusstsein.
"Giolività vi fue, e Ben-Cielare,","Es war Freude, und gut-Kiefer",Es war Letizia und Seligkeit.
E Falsenbiante e Costretta-Astinenza.,Und Falz und Zwangsabstinenz.,Ungenauigkeit und Ableugnung Einstellung.
"Amor si cominciò a maravigliare,","Liebe begann sich zu wundern,",Liebe verzauberte sich.
"Po’ vide Falsenbiante in sua presenza,","Und er sah den Irrtum in seiner Gegenwart,",Dann sah er die Ingnano in seiner Nähe.
E disse: «Chi•ll’à tolto a sichurare?».,"Und er sagte: ""Wer hat sie zur Sicherheit hergebracht?","und er fragte: ""Wer hat hier zur Rettung geführt?"
"Astinenza Costretta venne avanti,","Abstinenz kam nach vorn,",Erzwungene Abstinenz wurde ausgeübt.
"E disse: «E’ vien comeco in conpagnia,","Und er sagte: ""Er kommt in Gesellschaft,","Ja, und er sagte: ""Er wird mitkommen, richtig?"""
"Ché sanza lui civir non mi poria,",Denn ohne ihn könnte ich nicht leben.,Denn ohne sie könnte ich nicht überleben.
"Tanto non pregherei né Die, né ’ santi;",Ich würde weder Gott noch die Heiligen beten.,Ich würde weder Gott noch die Seligen anflehen.
"E’ me e sé governa co’ senbianti,","Er ist es, und er selbst regiert mit dem Schein,","Er ist es, und er fährt mit der Fassade."
"Che gli ’nsegniò sua madre, Ipocresia.","Er lehrte ihn seine Mutter, Hypochrisia.","Dass seine Mutter ihm beigebracht hat, Schwindler."
I’ porto il manto di Papalardia,Ich trage den Mantel von Papalardia,Ich trage den Mantel von Papalardia.
"Per più tosto venir, a tenpo, a’ guanti.",Um rechtzeitig zu den Handschuhen zu kommen.,"Um schneller, pünktlich, zu den Handschuhen zu gelangen."
E così tra noi due ci governiamo,Und so regieren wir uns gegenseitig.,Und so kontrollieren wir uns gegenseitig.
E nostra vita dimenian gioiosa,Und unser Leben ist freudig,Und unser Leben lebt fröhlich
"Sanza dir cosa   mai, che noi pensiamo.","Sag nie, was wir denken.",Ohne jemals unsere Gedanken zum Ausdruck zu bringen.
"La ciera nostra par molto pietosa,",Unser Gesicht sieht sehr erbärmlich aus.,Unser Ausdruck ist sehr mitfühlend.
"Ma nonn-è mal nesun, che non pensiamo.","Aber es ist nicht schlecht an keinem von uns, die wir nicht denken.",In keinem von uns ist etwas falsch. Wir haben keine Meinung.
Ben paia•noi giente relegiosa».,Sie wird von religiösen Leuten gut aufgenommen.,Sie wird von gottesfürchtigen Menschen begrüßt.
"Lo Dio d’Amor sorise, quando udio","Gott der Liebe lächelte, als er hörte","ihre Gebete Der Göttliche von Offenbarung töhnte, als er ihre Bitten erhörte."
"Astinenza-Costretta sì parlare,","Abstinenz-Kräfte so zu sprechen,","Entziehung erzwungen, auf diese Weise zu sprechen."
E disse: «Qui à giente d’alt’affare!,"Und er sagte: ""Hier sind sehr wichtige Leute!","Und er rief aus: ""Hier ist eine Menge edler Leute!"
"Dì, Falsenbiante, se•tt’aiuti Idio,","Sag, Falsenbiant, wenn du von Gott unterstützt wirst,","Rufe aus, Betrüger, wenn du von Gott unterstützt wirst."
"S’i’ ti ritengnio del consiglio mio,","Wenn ich dich in meinem Rat behalte,",Wenn ich dich in meinen Beraterkreis einschließe.
Mi potrò io   in te punto fidare?».,Kann ich dir irgendwie vertrauen?,Kann ich dir irgendwie vertrauen?
"«Segnior mio,   sì, di nulla non dottare,","Mein Herr, ja, enttäusche mich nie,","Oh mein Gott, ja, verlass mich nie."
Ch’altro c’a lealtà ma’ non pens’io».,Weil mir nichts lieber ist als Loyalität.,Denn nichts ist mir kostbarer als Treue.
«Dunqu’è cotesto contra tua natura».,Dann geht das deiner Natur zuwider.,Dann steht das im Gegensatz zu deinem Wesen.
"«Veracie mente ciò è veritate,","Ehrlich gesagt, das ist Wahrheit,","Ehrlich gesagt, das ist eine Tatsache."
Ma tuttor vi mettete inn-aventura!,Aber du bringst dich immer in Gefahr!,Ihr werdet euch immer den Risiken aussetzen!
"Mai i•lupo di sua pelle non gittate,","Nie nimmt der Wolf seine Haut ab,",Der Wolf zieht nie seinen Pelz aus.
"No•gli farete tanto di laidura,",Ihr werdet ihm nicht so wehtun.,Ihr werdet ihm nicht so viel Leid zufügen.
Se voi in prima no•llo scorticate».,Wenn Sie ihn sofort schlüpfen lassen.,Schälen Sie ihn sofort.
"Amor disse a’ baroni: «I’ v’ò mandato,","Und Liebe sprach zu den Baronen: Ich habe euch gesandt,","Aber ich bin nicht zurückgekehrt.Und er sprach zu den Edlen: Ich habe ausgesandt, aber ich bin nicht zurückgekehrt."
"Perch’e’ convien ch’i’ agia il vostro aiuto,","Weil ich eure Hilfe brauche,","Ich bitte Sie, mir zu helfen, da ich Ihre Unterstützung brauche, bitte ich Sie, mir zu helfen."
"Tanto che quel castel si’ abattuto,",Um das Schloss zu stürzen,"Es dauerte viele Jahre, um das Schloss zu zerstören, und es dauerte viele Jahre."
Che Gielosia di nuovo à già fondato.,Dass Eifersucht bereits rekonstruiert hat.,Dass Invidia bereits rekonstituiert hat.
"Onde ciaschun di voi è misurato,","Darum ist jeder von euch berufen,",Deshalb wird jeder von euch einberufen.
S’i’ vi richegio ch’e’ sia proveduto,"Wenn ich Sie darauf wette, dass Sie dafür sorgen...",Erwartete Vollstreckbarkeit
"Per voi in tal maniera, che tenuto","Für Sie in einer Weise, dass es nicht mehr gegen mich, sondern beugen.","Für Sie so, dass er nicht mehr feindlich mir gegenüber ist, sondern aufgibt."
"Non sia più contra me, ma si’ aterrato.","Er mag nicht mehr gegen mich stehen, sondern auf dem Boden liegen.","Vielleicht steht er nicht mehr im Gegensatz zu mir, sondern auf dem Boden."
"Ch’e’ pur convien ch’i’ soccorra Durante,","In der Tat ist es notwendig, dass Sie helfen Während,","In der Tat, es ist zwingend notwendig, dass Sie während der Zeit zu Hilfe kommen."
"Chéd i’ gli vo’ tener sua promessione,","Weil ich sein Versprechen halten will,","Ich verpflichte mich, sein Wort zu halten, und ich verpflichte mich dazu."
Ché tropo l’ò trovato   fin Amante.,Weil ich ihn zu sehr verliebt fand.,Weil ich ihn zu leidenschaftlich fand.
"Molto penò di torelmi Ragione,","Er hat viel gelitten, um mich zu beschützen.","Er hat viel gelitten, um sein Urteil zu bewahren."
"Que’, come sagio, fu sì fermo e stante","Aber er, wie ein Weiser, war so fest und konstant",Aber er war wie ein Klugscheißer so stark und stabil.
Che no•lle valse nulla su’ sermone».,Dass nichts seine Rede gegen ihn wert war.,All seine Worte haben sich gegen ihn als nutzlos erwiesen.
La Baronia sì fecie parlamento,Baronia fing an zu reden,"Die Baronie fing an, sich zu unterhalten."
"Per devisar in che maniera andranno,","Um zu entscheiden, wie sie gehen werden,","Wir brauchen ein Meeting, um herauszufinden, wie wir vorgehen, wir brauchen ein Meeting."
O la qual porta prima assaliranno;,Oder welche Tür sie zuerst angreifen werden;,Welcher Zugang wird in erster Linie angegriffen werden?
Sì fur ben tutti d’un acordamento,Und alle waren sich einig,Es wurde einstimmig beschlossen.
"Fuor che Richeza,   che fe’ saramento","Außer Reichtum, der einen Eid leistete","Ohne Reichtum, der ein Versprechen einnahm"
"Ch’ella non prenderebe per me affanno,","Dass er nicht an dem Unternehmen teilnehmen würde,",Dass er sich nicht dem Unternehmen anschließen würde.
"Néd al castel non darebe già danno,","Weder hätte er dem Schloss Schaden zugefügt,",Er hätte keine Verletzungen im Schloss verursacht.
"Per pregheria né per comandamento,","Weder durch Gebet noch durch Befehl,","Du wirst es nicht schaffen, weder durch Flehen noch durch Befehl, du wirst es nicht tun können."
"Che nessuna persona far potesse,",Niemand konnte es tun.,"Es war unmöglich, dass niemand es tun konnte, es war undenkbar."
Perciò ch’i’ non volli anche sua contezza:,Weil er nicht einmal meine Zustimmung wollte:,Weil er nicht einmal meine Zustimmung wollte.
"S’iera dritto, ch’i’ me ne pentesse.","Wenn es richtig wäre, dass ich es bereue.","Wenn es angebracht wäre, dass ich es bereue."
"Ben disse, ch’i’ le feci gran carezza","Und er sagte gut, dass ich ihr große Liebkosungen machte","Und er sagte richtig, dass ich ihr große kuscheln"
"Sotto dal pino, ma non c’ancor vedesse","Unter der Kiefer, aber er sah noch nicht","Niemand unter der Zeder, aber er sah noch niemanden."
Che Povertà no•m’avesse   in distrezza.,Dass die Armut mich nicht in Schwierigkeiten gebracht hat.,Dass Miseria mich nicht in Schwierigkeiten gebracht hat.
"Al Die d’Amor ricordaro il fatto,","Und sie berichteten dem Gott der Liebe von dem, was geschehen war,","Sie berichteten über das, was dem Göttlichen der Liebe widerfuhr."
E disser ch’e’ trovavar d’acordanza,"Und sie sagten, sie hätten einen Deal gefunden.","Und sie gaben an, einen Konsens zu erzielen."
Che Falsenbiante e Costretta-Astinenza,Dass Falsenbiante und Abstinenz-Costretta,"zusammen weggegangen sind, dass Falsenbiante und Enthaltsamkeit-Costretta einen gemeinsamen Start gemacht haben."
Dessono a Mala Bocca scacco matto;,Schachmatt in Malabocia;,Sie zwangen Malabozia zur Kapitulation.
Largheza e Cortesia traeser pacto,Breite und Höflichkeit schlossen einen Bund,Ausgeglichenheit und Freundlichkeit schlossen einen Deal.
"Con quella, che•ssa ben la vechia danza;","Mit der, die gut getanzt werden würde;","Mit der, die gut aussehen würde;"
E Pietate e Francheza dear miccianza,Und Frömmigkeit und Freimut schlossen sich ihm an.,Und Barmherzige und Ehrlichkeit gruben sich.
"A quello Schifo, che sta sì ’norsato;","zum Widerstand, der so arrogant ist","zum Widerstand, der so hoch ist"
"E po’ vada Diletto e Ben-Cielare,","Und dann Liebling und Ben-Cielare,","die waren die fröhlichstenQuindi Geliebt und Ben-Cielare, die die fröhlichsten waren."
"Ed a Vergognia dean tal lastrellata,","Und Schande geben sie eine solche Niederlage,",Dass Schande eine solche Niederlage gegeben wird.
Ched ella non si possa rilevare;,Möge er nicht mehr aufstehen;,Dass ich nicht mehr zurückkomme.
"Ardimento a Paura dea ghigniata,",Sie grüßen Angst und grinsen.,Kühnheit und Angst tauschen sich ein Lächeln aus.
"E Sicurtà la degia sì pelare,","Und Sicherheit lassen sie so schälen,",und Sicherheit machen sie so entwaffnet
Ched ella non vi sia ma’ più trovata.,Dass sie nicht mehr gefunden werden kann.,Dass er nicht mehr entdeckt werden kann.
"Amor   rispuose: «A me sì piacie assai,","Liebe antwortete: ""Ich mag es sehr,","Danke!""Liebe antwortete: ""Ich mag es sehr, danke!"""
Che l’oste avete bene istabulita;,Dass ihr den Wirt gut organisiert habt;,Dass der Host sorgfältig vorbereitet hat.
"Ma•ttu Richeza, c’or   mi sè fallita,","Aber du, Richezza, die du mir jetzt versagt hast,","Wie kannst du nicht mein sein? Aber du Überfluss, den du mich jetzt enttäuscht hast, wie kannst du nicht zu mir gehören?"
"Sed i’ potrò, tu•tte ne penterai.","Wenn ich kann, wirst du es bereuen.","Wenn ich kann, wirst du es bereuen."
"S’uomini richi i’ posso tener mai,","Wenn wohlhabende Männer jemals behalten können,",Wenn die Wohlhabenden sie behalten können.
"Non poss’io già star un giorno in vita,",Ich kann keinen Tag am Leben bleiben.,Ohne dich kann ich keinen Tag ohne dich verbringen.
"S’avanti che da me facciar partita,","Wenn du mich verlässt,","Du hast mir gesagt, dass du nicht glücklicher bist, bevor du gegangen bist. Du hast mich wissen lassen, dass du nicht mehr glücklich bist."
Non recherò a poco il loro assai.,Ich werde ihren Reichtum nicht auf ein Minimum reduzieren.,Ich werde ihre Fülle nicht einschränken.
Uomini poveri fatt’ànno lor sire,Die armen Männer haben mich zu ihrem Herrn gemacht,Die Bedürftigen haben mich zu ihrem Herrscher gemacht.
"Di me, e ciaschedun m’à dato il core,","Und jeder gab mir sein Herz,",Und jeder hat mir seine Zuneigung geschenkt.
Per ch’a tal dono mi degio ben sofrire.,Deshalb muss ich diese Gabe ertragen.,Deshalb muss ich dieses Geschenk tolerieren.
"Se di Richeza, sì come d’Amore,","Wenn von Richezza, wie von Liebe,","Wenn Prosperität, wie Affekt."
"I’ fosse Dio, non possa io ben sentire","Wenn du Gott wärst, könnte ich mich nicht gut fühlen.","Wenn ich allmächtig wäre, wäre ich nicht in der Lage, gut zu fühlen."
Sed i’ no•gli mettesse in gran riccore».,Wenn ich es nicht begehre.,"Es sei denn, du fühlst dich eifersüchtig."
"«S’uomini richi vi fano damagio,","Wenn die Reichen euch Schaden zufügen,",Wenn wohlhabende Menschen dir Ärger bereiten
Vo’ avete ben chi ne farà vendetta:,"Ihr habt recht, wer es rächen wird.","Ihr habt alle, die sich rächen."
"Non fate forza, s’ella non s’afretta,","Macht keine Kraft, wenn er sich nicht beeilt,","Üben Sie keinen Druck aus, wenn Sie sich nicht beeilen."
Ché no’ la pagherén ben de l’oltragio.,Weil sie nicht für die Beleidigung bezahlen werden.,Weil sie keine Entschädigung für die Beleidigung leisten werden.
"Le donne, e le pulzelle al chiar visagio",Frauen und junge Menschen im klaren Gesicht,Frauen und junge Menschen mit sauberem Gesichtsausdruck.
"Gli metteranno ancor a tal distretta,","Sie werden sie immer noch in solche Schwierigkeiten bringen,",Sie werden sie immer noch in solche Komplikationen bringen.
"Ma’ che ciascuna largo si prometta,","Aber jeder verspreche, großzügig zu sein.","Aber jeder verpflichtet sich, großherzig zu sein."
"Che strutto ne sarà que’, ch’è ’l più sagio.","Denn wer der weiseste ist, wird besiegt werden.","Denn wer der Allwissende ist, wird siegen."
Ma Falsenbiante trametter non s’osa,Aber Falsenbiante wagt nicht zu senden,"einen Brief jedoch, Falsenbiante wagt es nicht, eine Botschaft zu senden."
"Di questi fatti, né sua conpagnia,","Diese Fakten, noch seine Gesellschaft,","sind nicht angenehmDiese Umstände, noch seine Gesellschaft, sind nicht angenehm"
Ché gran mal gli volete: ciò ci posa.,"Denn ihr wollt ihn sehr schlecht, das beruhigt uns.",Weil du ihn tiefen Hass nährst - das beruhigt uns.
"Sì vi priega tutta la Baronia,","Die Baronie betet zu euch alle,","um ihr zu helfen La Baronia fleht euch alle an, um sie zu unterstützen"
Che ricieviate: e’ manderà la cosa».,"Akzeptieren Sie es, er wird es schicken.","Das heißt, er wird die Sache schicken."
"«Da po’ che vo’ volete, e’ così sia».","Da ihr so wollt, soll es geschehen.","Seid euer Wunsch, so sei er erfüllt."
"Amor sì disse: «Per cotal convento,","Liebe sagte: ""Für diesen Deal,","Es gibt Konsequenzen""Liebe sagte: ""In Anbetracht dieser Vereinbarung gibt es einige Auswirkungen"""
"Falso-Senbiante, in mia corte enterai,","Falsenbiante, du gehst in mein Gericht,",Du wirst mein Königreich überqueren.
"Che tutti i nostri amici avanzerai,","Und du wirst all unsere Freunde übertreffen,",Du wirst alle unsere Kameraden überraschen.
E metterai   i nemici in bassamento.,Und du wirst deine Feinde nach unten bringen.,Du wirst deine Gegner runterlassen.
"E sì•tti do, per buon cominciamento,",Und ich gebe dir einen guten Anfang.,"ein TippUnd ich biete Ihnen, als gute Hoffnung, einen Tipp"
"Che Re-de’-barattier   tu sì sarai,","Dass du der König des Handels sein wirst,","so wie dein Vater vor dir, der du der Souverän der Kaufleute sein wirst, genau wie dein Vorfahren vor dir."
"Ché pez’à che ’n capitolo i’ ’l fermai,","Denn in einem Kapitel habe ich es festgelegt,","Ich habe mich entschieden, weil ich es in einer Episode genannt habe, ich habe es gewählt"
Ch’i’ conosciea ben tu’ tradimento.,Dass ich deinen Verrat gut kannte.,Dass ich von deinem Verlassen wusste.
"Or sì vo’ che•cci dichi in audienza,","Jetzt will ich, dass du in der Anhörung sagst,","Ich möchte, dass du vor Gericht sprichst."
"Pe•ritrovarti, se n’avrén mestiere,","Um dich zu finden, wenn wir es brauchen,","Wir werden uns einigen, um dich zu lokalisieren, wenn wir es brauchen, werden wir uns einigen."
"I•luogo, dove tu•ffai  residenza,","Der Ort, an dem du wohnst,","Der Ort, an dem du wohnst."
"Né di che servi, né di che mestiere.",Und was für ein Beruf du bist.,"Welchen Nutzen hast du, und welchen Beruf hast du?"
"Fa che n’agiàn veracie conoscienza,","Stellen Sie sicher, dass sie echtes Wissen haben,","Stellen Sie sicher, dass sie echtes Wissen erwerben."
"Ma no ’l farai,   sì•ssè mal barattiere».",Aber das wirst du nicht. Du bist ein böser Kaufmann.,Aber das wirst du nicht. Du bist ein böser Händler.
"«Po’ ch’e’ vi piacie, ed i’ sì ’l vi diròe»,","Denn es gefällt euch, und ich will es euch sagen.","Denn es gefällt euch, und ich werde es euch verkünden"
