Original,Translate_en_1,Translate_en_2
Ira e pensier m’ànno sì vinto e lasso,Ira and thoughts have so overcome and weakened me,Collera and reflections have so overwhelmed and weakened me
"Ch’e’ non è maraviglia s’i’ mi doglio,",that I am not surprised by such pain,that does not surprise me of such suffering
"Chéd i’ sì vo a fedir a tale iscoglio,",I'm going to lie about that rock.,I'm going to falsify on that rock.
"S’Amor non ci provede, ch’i’ son chasso.","If Love doesn't provide us, I'm lost.","If Love doesn't support me, I'm doomed."
"E ciò m’à MalaBocha prochacciato,",And that brought me closer to Malabocia.,And that brought me closer to Malabocia.
"Che svegliò Castitate e Gielosia,",who awakened chastity and jealousy,who raised up modesty and envy
Sì tosto com’i’ ebi il Fior basciato.,It's as fast as I was when I kissed the Flower.,He stood out like me when I kissed Blossoming.
"Allor fos’egli stato i•Normandia,","So if he was in Normandy,","It would have been better if he had stayed in Normandy, it would have been better."
"Nel su’ paese, ov’e’ fu strangolato,",there in his country where he was hanged,There in his country where he was executed
Ché sì gli piaque dir ribalderia».,because he was pleased to say slanders.,Because he rejoiced to say slander.
Com’era gito il fatto ebi contato,how the fact had happened so I told it,"As the event had happened, so I reported."
"A motto a motto, di filo in aghuglia,","word for word, not forgetting anything,",Expressing a Different OpinionManifesting an Alternative Thought
"Al buono Amico, che non fu di Puglia,","to the good friend, who was not from Puglia.","To my dear friend, who didn't come from Puglia."
"Che m’ebe molto tosto confortato,",That he had comforted me very quickly,That offered me a quick comfort
E disse: «Guarda che ’n sie acietato,"He said, ""Look, you haven't accepted it.","""He exclaimed: ""You see, he was not received."""
"Il consiglio Ragion, ma di te il buglia,","Reason counsels, but far from you,","Wise is prudence, but absent from you."
Ché ’ fin’ amanti tuttor gli tribuglia,because reason disturbs lovers,because logic disturbs lovers
"Con quel sermon, di che•tt’à sermonato.",with that sermon that he preached to you.,With that speech he gave you.
"Ma ferma in ben amar tutta tua ’ntenza,","But put all desire in love,","like a flowering treePut all the enthusiasm in love, like a flowering tree."
"E guarda al Die d’Amor su’ ’managio,","and look at the promise to the God of Love,",examine the commitment to the Lord of the Affect.
Ché tutto vincie lungia soferenza.,that everything wins a long suffering,that everything triumphs after a long penance
"Or metti a me intendere il coragio,",Now put me to understand the courage,Now show me the value.
Chéd i’ ti dirò tutta la sentenza,'Cause I'm gonna tell you the whole story.,For I will reveal the whole narrative unto thee.
"Di ciò, che dé far fin Amante sagio.",of what a wise refined lover must do.,"of what a wise, discerning lover must do."
A Mala-Bocca vo’ primieramente,First of all in Malabocia,"didn't like itFirst, Malabocia didn't like it."
"Che•ttu sì no•gli mostri mal senbiante,","that if you show him ill looks,","He will return you if you show him evil expressions, he will return you"
"Ma se gli passe o dimore davante,","But if he passes or stops before him,","however, if he darts or arrests you in front of him."
Umile gli ti mostra ed ubidente:,show yourself humble and obedient.,manifest humility and respectful obedience.
"Di te e del tuo gli sie largo offerente,","Offer him your person and your possessions,",Give him your presence and your riches.
E’ faccia di te come di su’ fante.,And make of thee as one of his servants.,and treat thee as his servant.
"Così vo’ che lo ’nghanni quel truante,",So you that masclazone where to deceive,so you that impostor where to cheat
Che si diletta in dir mal d’ognie giente.,It's fun to talk bad about everyone.,who delights to murmur badly at all.
Chol braccio al collo sì die hon menare,With your arm around your neck and pleasant words,With your arm around your neck and pleasant speeches.
"Il su’ nemico, insin che sia ’l giubetto,","You must lead your enemy to the gallows,",You need to drive your guillotine antagonist.
"Co•le lusinghe, e po’ farlo inpiccare.","with his flattery, and then hang him.","With his flattery, and then hang him."
"Or metti ben il cuor a•cciò, c’ò detto,",Now put your heart to what I said:,Now take care of what I said.
"Di costu’ ti convien così ovrare,",That's what you have to do.,with this you must act in this way
Insin ch’e’ sia condotto al passo stretto.,until he was led to that narrow passage.,Until you get to the narrow stretch.
Inpresso vo’ che•ttu agie astinenza,"After that, I want you to abstain.","After that, I want you to abstain."
"Di non andar sovente dal chastello,",not to go to the castle repeatedly,frequently avoid going to the castle
Né non mostrar che•tti sia guari bello,and don't show that you like it,and hide that you like
A riguardar là ov’è Bellacoglienza:,to look where Bell is welcome,To observe the location of Bell reception
Ch’e’•tti convien aver gran provedenza,that all agree to have great providence,that all agree to have great diligence
"Insin che Malabocha   t’è ribello,","As long as Malabocia rebels against you,",until malignness opposes you
"Ché•ttu sa’ ben ch’egli è un mal tranello,",that everyone knows that he is a bad trap,that all are aware that he is a bad ambush
"Che giorno e nott’e’ grida, e nogia, tenza.",screaming and screaming and arguing day and night.,"which excites, voices and contends day and night."
De l’altre guardie non bisognia tanto,of the other guards not so biognizant,You don't have to worry too much about the other guards.
Guardar com’e’ ti fa di Mala-Bocha,watch how you do it with Malabocia,ascertain how you perform with Malabocia
Ch’elle starian volontier da l’un canto;,that they willingly stand on the one hand,that they are gladly on the one hand
Ma quel normando incontanente scocha,But that Norman immediately threw himself,But that Norman promptly threw himself
"Ciò ched e’ sa, ed in piaza ed a santo,","what he knows, both in the square and in the churches;","What he knows, both in the square and in the basilicas."
"E con’ truova da sé, e’ mette in cocha.",and he finds himself and puts himself in the queue,search alone and get in line
"La Vechia, che Bellacoglienz’à ’n guarda,","La Vecchia, what a beautiful welcome she looks at","The Old woman, who examines with Courtesy."
Servi ed onora a tutto tu’ podere,Serve and honor with all your strength,Pay tribute and worship with all your energy.
"Ché, s’ella vuol, troppo ti può valere:","because, if it wants, it can be very useful,","because, if you wish, it can prove extremely beneficial."
"Chéd ella nonn-è folle, né musarda.",for she is neither foolish nor foolish.,Because she's neither stupid nor senseless.
"A Gielosia, che mal fuoco l’arda,",With Jealousy - let a fire burn it! -,With envy - that a fire devours it!
"Fa ’l somigliante, s’ella può vedere.",Do the same if you can see it.,Do the same if you can feel it.
"Largo prometti a tutte de l’avere,","Promise them all their generous reward,",It assures each one of them an abundant reward.
"Ma ’l pagamento, il più che puo’,   lo tarda.",but delay payment as much as possible.,refer payment as much as is feasible.
"E, se•llor doni, dona gioeletti,","And if you give gifts, give jewels,","If you give gifts, give away jewelry."
"Be’ covricieri, e reti, e ’ntecciatoi,",beautiful hats and hats and silk ribbons,beautiful head covers and hats and silk bands
"E belle ghirlanduze, e ispiletti,","and beautiful garlands and pins,",gorgeous garlands and clasps
"E pettini d’avorio, e rizatoi,","and combs and bars of ivory,","and combs and bars of ivory,"
"Coltelli, e paternostri, e tessutetti:","knives, rosaries and cloths;","Blades, rosaries and dishcloths"
Ché questi non son doni strugitoi.,that these are cheap gifts.,that these are cheap gifts.
"Se non ài che donar   fa gran promessa,","If you have nothing to give, make great promises,","If you have nothing to offer, make great insurance."
"Sì com’i’ t’ò contato qui davanti,","Yeah, like it's right here in front.","Right here, right here."
"Giurando loro Idio e tutti i santi,",swearing to them the God and all the saints,solemnly promising them in the name of God and the saints
"Ed anche il sacramento della messa,","and also on the sacrament of Mass,",and also on the institution of the Eucharist
"Che ciascuna farai gran baronessa,","that you will make each one a great Baroness,",that you will make each one a great noblewoman
Tanto darai lor fiorini e bisanti.,You're gonna give them florins and bisanti.,You'll give them coins and gold coins anyway.
"Di piangier vo’ che faccie gran senbianti,",I want you to pretend to cry.,I want you to pretend to tear.
