Original,Translate_fr_1,Translate_fr_2
Sì•lla trovai ver’ me crudel e fera.,"Si cruelle, je l'ai trouvée vers moi.",Je l'ai trouvée si méchante envers moi.
"Lo Dio D’Amor, che guar’ lungi non m’era,","Le Dieu de l'Amour, qui n'était pas loin de moi,","Il m'a donné un grand soulagementLe divin de l'affection, qui n'était pas loin de moi, m'a donné une profonde consolation."
"Mi riguardò com’io mi contenesse,",Il a regardé comme je m'en sortais.,Il a examiné comment je m'en sortais.
E parvemi ched e’ gli ne incresciesse;,Et j'avais l'impression qu'il l'ennuyait.,Et j'avais l'impression qu'il le dérangeait.
"Si venne a me e disse: «In che manera,","Il est venu me voir et m'a dit: ""Comment,","Puis-je vous aider ?"" Il est venu me voir et m'a demandé: ""Comment puis-je être utile ?"""
"Amico, m’ài guardato l’omanagio,","Mec, tu as tenu ton serment.","Mec, tu as honoré ta promesse."
"Che mi faciesti, passat’à un anno?».",Tu m'as fait ça il y a un an ?,Qu'est-ce que tu m'as fait il y a un an ?
"I’ gli dissi: «Messer, vo’ avete il gagio","Je lui ai dit: ""Seigneur, tu as ma promesse,","Je lui ai dit: Mon seigneur, tu as ma parole, je la garderai."
"Or, ch’è il core». «E’ non ti fia già danno,","Maintenant que c'est mon cœur, il ne te fera aucun mal.","Maintenant qu'il est dans mon cœur, il ne te fera aucun mal."
Ché tu•tti sè portato come sagio:,"parce que tu as agi avec sagesse,","Tu as été récompensé dès que tu as agi prudemment, tu as été récompensé."
Sì avrai guiderdon del grande afanno».,Tu seras récompensé pour ta grande détresse.,Tu seras récompensé pour ta grande souffrance.
Lo Dio d’Amor per tutto ’l regnio manda,"Dans tout le royaume, le Dieu de l'Amour envoie","Ses dons Dans tout le royaume, l'Être Suprême de l'Affectation envoie ses bienfaits."
Messagi e lettere a la Baronia:,les messagers et les lettres à tous les barons;,Envoyez des messagers et des épîtres à tous les barons.
"Che davanti da lui ciaschedun sia,",Qui que ce soit devant lui,Qui que ce soit devant lui
"Ad alcun priega, e ad alcun comanda;",à certains demande et à certains ordonne,Certaines personnes demandent et d'autres imposent
"E ch’e’ vorrà far lor una domanda,","Il voudra leur poser une question,",Il voudra leur poser une question.
"La qual fornita converrà che•ssia,","Ce qui, fourni, sera nécessaire,","Celle-ci, fournie, sera indispensable."
"D’abatter il castel di Gielosia,","Pour détruire le château de Gielosia,",Anéantir le manoir de Jelosia
Sì ch’e’ non vi dimori inn-uscio banda.,afin qu'il n'y ait plus de gang méchant qui y habite.,de sorte qu'il n'y ait plus de troupe maléfique qui y réside.
"Al giorno ciaschedun si presentò,","Dans le grand jour, tous se présentèrent,","Dans le grand événement, tout le monde s'est matérialisé."
Presto di far il su’ comandamento;,prêt à exécuter sa commande;,disponible pour obéir à son ordre.
Dell’armadure ciaschedun pensò,Tout le monde a réfléchi sur ses bras.,chacun a médité sur les membres
Per dar a Gielosia   pene e tormento.,pour donner à Jalousie tourment et jalousie.,Pour infliger la souffrance et l'envie à la jalousie.
"La Baronia   i’ sì vi nomerò,","La Baronia, que j'ai en tête,","C'est une grande propriétéLa Baronia, qui me souvient, est une immense propriété."
Secondo ched i’ ò   rimenbramento.,Je te nommerai selon ce que j'ai en mémoire.,Je te designerai en fonction de ce que j'ai mémorisé.
"Madonna Oziosa venne la primiera,","Madonna Oziosa est venue la première,","A la recherche d'un rêve, Mme Pigra est arrivée plus tôt, à la recherche d'une aspiration."
"Con Nobiltà-di-Chuor, e con Richezza,","avec Noblesse-de-Chuor, et avec Richesse,","et avec SplendeurAvec magnificence, et avec abondance, et avec brillance."
"Franchigia, Cortesia, Pietà, Largheza,","Cordialité, bonté, miséricorde, générosité,","La bienveillanceAmitié, la gentillesse et le traitement bienveillant sont les principes fondamentaux qui régissent notre interaction. La générosité, la miséricorde, la courtoisie et la bienveillance sont les mots clés pour décrire notre relation mutuelle."
"Ardimento, e Honor: ciaschedun v’era.",L'audace et l'honneur qui était là,L'ardeur et la dignité étaient présentes chez tous.
"Diletto et Conpagnia seguian la schiera,","Bien-aimé et Compagnie suivaient la troupe,",Satisfaction et Société accompagnaient la procession.
"Angielicanza, Sicurtà, et Leteza,","Angélicance, Sécurité, et Letizia,","L'angoisse, la protection et la joie."
"E Solazo, e Bieltate, e Giovaneza",et Joie et Beauté et Jeunesse,"Exultation, Splendeur et jeunesse"
Andavan tutte inpresso la bandera.,Ils allaient tous ensemble sous le drapeau.,Ils continuaient ensemble sous la bannière.
"Ancor v’era   Humiltate, e Pacienza,","Il y avait aussi de l'humilité, et de la patience,",Il y avait aussi de l'humilité et de la subportation.
"Giolività vi fue, e Ben-Cielare,","il y eut Joie, et Ben-Ciel","Il y eut Letizia, et Béatitude."
E Falsenbiante e Costretta-Astinenza.,et Falsité et Abstinence Force.,Inexactitude et abnégation Définit.
"Amor si cominciò a maravigliare,",L'amour commença à s'émerveiller.,L'amour s'est enchanté.
"Po’ vide Falsenbiante in sua presenza,","puis il vit la Falsité en sa présence,",puis il vit la trompette dans sa proximité.
E disse: «Chi•ll’à tolto a sichurare?».,"et dit: ""Qui l'a emmenée ici à la sécurité?",Et il dit: Qui a conduit ici pour le salut?
"Astinenza Costretta venne avanti,",L'abstinence forcée est passée à autre chose.,L'abstinence forcée a été exercée.
"E disse: «E’ vien comeco in conpagnia,","Et il a dit: ""Il vient en compagnie,","Oui, et il dit: ""Il viendra accompagné, n'est-ce pas?"""
"Ché sanza lui civir non mi poria,","Parce que sans lui, je ne pourrais pas vivre,","Parce que sans lui, je ne pourrais pas survivre."
"Tanto non pregherei né Die, né ’ santi;",Je ne prierai ni Dieu ni les saints;,Je ne supplierais ni Dieu ni les bienheureux.
"E’ me e sé governa co’ senbianti,","C'est lui et lui-même qui gouverne avec l'apparence,",C'est lui et il se dirige avec sa façade.
"Che gli ’nsegniò sua madre, Ipocresia.","Qu'il lui a enseigné sa mère, l'hypocrisie.","Que sa mère lui enseigna, Fingement."
I’ porto il manto di Papalardia,Je porte la cape de Papalardia.,Je porte la cape de Papalardia.
"Per più tosto venir, a tenpo, a’ guanti.","Pour venir plus vite, à temps, aux gants.","Pour arriver plus vite, à l'heure, aux gants."
E così tra noi due ci governiamo,C'est ainsi que nous nous gouvernons entre nous.,C'est ainsi que nous nous contrôlons l'un l'autre et que nous nous contrôlons l'un l'autre.
E nostra vita dimenian gioiosa,Et nous passons notre vie joyeuse,"Et notre existence, nous vivons joyeusement"
"Sanza dir cosa   mai, che noi pensiamo.",Sans jamais dire ce qu'on pense.,Sans jamais exprimer nos pensées.
"La ciera nostra par molto pietosa,",Notre visage a l'air très pitoyable.,Notre expression est tout à fait compatissante.
"Ma nonn-è mal nesun, che non pensiamo.","Mais il n'y a pas de mal chez aucun d'entre nous, que nous ne pensons pas.","Il n'y a rien de mal chez aucun d'entre nous, que nous n'avons pas d'opinion."
Ben paia•noi giente relegiosa».,Elle est bien vue par les religieux.,Elle est accueillie favorablement par les gens dévoués.
"Lo Dio d’Amor sorise, quando udio",Dieu d'Amour sourit quand il entendit,leurs prièresLe Divin d'Affectation a rêvé quand il a entendu leurs supplications.
"Astinenza-Costretta sì parlare,","Abstinence-Costrite parler ainsi,",Suppression forcée de parler de cette façon.
E disse: «Qui à giente d’alt’affare!,"Et il a dit: ""Il y a des gens d'une grande importance ici!","Et il s'écria: ""Il y a ici une foule de gens éminents!"
"Dì, Falsenbiante, se•tt’aiuti Idio,","Dis, Falsenbiant, si tu es aidé par Dieu,","S'il te plaît, imposteur, si tu es assisté par Dieu."
"S’i’ ti ritengnio del consiglio mio,","Si je te garde dans mon conseil,",Si je t'inclus dans mon cercle de conseillers.
Mi potrò io   in te punto fidare?».,Pourrai-je vous faire confiance d'aucune façon?.,Pourrai-je avoir confiance en toi ?
"«Segnior mio,   sì, di nulla non dottare,","Seigneur, oui, ne me déçois jamais,","Oh mon Dieu, oui, ne m'abandonne jamais."
Ch’altro c’a lealtà ma’ non pens’io».,Parce que rien ne m'est plus cher que la loyauté.,Parce que rien ne m'est plus précieux que la fidélité.
«Dunqu’è cotesto contra tua natura».,Ça va à l'encontre de ta nature.,Alors ça va à l'encontre de ta nature.
"«Veracie mente ciò è veritate,","Honnêtement, c'est la vérité.","Honnêtement, c'est un fait."
Ma tuttor vi mettete inn-aventura!,Mais vous vous mettez toujours en danger !,Vous vous exposerez toujours aux risques !
"Mai i•lupo di sua pelle non gittate,",Jamais le loup n'enlève sa peau.,Jamais le loup ne se déshabille de sa fourrure.
"No•gli farete tanto di laidura,",Vous ne lui ferez pas si mal.,Vous ne lui infligerez pas tant de souffrances.
Se voi in prima no•llo scorticate».,Vous l'écorchez tout de suite.,Écrasez-le immédiatement.
"Amor disse a’ baroni: «I’ v’ò mandato,","L'amour dit aux barons: ""Je vous ai envoyés,","Mais je ne suis pas revenu. ""J'ai dit aux nobles: ""J'ai envoyé, mais je ne suis pas revenu."""
"Perch’e’ convien ch’i’ agia il vostro aiuto,","Parce que j'ai besoin de votre aide,","Je vous demande de m'aider, car j'ai besoin de votre soutien, s'il vous plaît, aidez-moi."
"Tanto che quel castel si’ abattuto,",Pour abattre ce château,Ça m'a pris de nombreuses années pour démolir ce manoir.
Che Gielosia di nuovo à già fondato.,Que la jalousie a déjà reconstruit.,Que l'envie a déjà reconstitué.
"Onde ciaschun di voi è misurato,","C'est pourquoi chacun de vous est appelé,",C'est pourquoi chacun de vous est convoqué.
S’i’ vi richegio ch’e’ sia proveduto,Si je vous redis qu'il est pourvu,Je demande qu'elle soit accomplie
"Per voi in tal maniera, che tenuto","Pour vous de telle sorte qu'il ne soit plus contre moi, mais qu'il se plie.","Pour vous de telle sorte qu'il ne soit plus hostile à moi, mais qu'il abandonne."
"Non sia più contra me, ma si’ aterrato.","Il peut ne plus être contre moi, mais qu'il soit nivelé au sol.","Il peut ne plus être en désaccord avec moi, mais être abaissé sur le sol."
"Ch’e’ pur convien ch’i’ soccorra Durante,","En effet, il faut qu'il sauve Pendant,","En effet, il est impératif qu'il vienne en aide à Durant."
"Chéd i’ gli vo’ tener sua promessione,","Parce que je veux tenir sa promesse,","Je m'engage à respecter votre parole, je prends l'engagement."
Ché tropo l’ò trovato   fin Amante.,Parce que je l'ai trouvé trop amoureux.,Parce que je l'ai trouvé trop passionné.
"Molto penò di torelmi Ragione,","Il a beaucoup souffert pour me garder raison,",Il a beaucoup souffert pour garder son jugement.
"Que’, come sagio, fu sì fermo e stante","Mais lui, comme un sage, a été si ferme et ferme","Mais lui, comme un sage, était si fort et stable."
Che no•lle valse nulla su’ sermone».,Que rien n'a valu son discours contre lui.,Toutes ses paroles se sont révélées inutiles contre lui.
La Baronia sì fecie parlamento,La Baronie s'est mise à parler.,La Baronie s'est mise à parler.
"Per devisar in che maniera andranno,","Pour décider de la façon dont ils iront,","Nous avons besoin d'une réunion pour déterminer comment procéder, nous avons besoin d'une réunion."
O la qual porta prima assaliranno;,Ou quelle porte ils attaqueront en premier;,Quel accès sera attaqué en premier lieu?
Sì fur ben tutti d’un acordamento,Et tout le monde était d'accord.,Il a été unanimement décidé.
"Fuor che Richeza,   che fe’ saramento","Sauf Richesse, qui a prêté serment","À l'exception de Richesse, qui prit une promesse"
"Ch’ella non prenderebe per me affanno,","Qu'il n'aurait pas pris part à l'entreprise,",Qu'il n'allait pas rejoindre l'entreprise.
"Néd al castel non darebe già danno,",Il n'aurait pas non plus causé de dommages au château.,Il n'aurait pas causé de blessures au manoir.
"Per pregheria né per comandamento,","Ni par la prière, ni par l'ordre,","Tu n'y arriveras pas, ni par supplication, ni par commandement. Tu ne seras pas capable de le faire."
"Che nessuna persona far potesse,","Que personne ne pouvait faire,","C'était impossible que personne ne puisse accomplir, c'était inconcevable."
Perciò ch’i’ non volli anche sua contezza:,Parce qu'il n'a même pas voulu mon consentement.,Parce qu'il n'a même pas voulu mon accord.
"S’iera dritto, ch’i’ me ne pentesse.",Si c'était bien que je le regrette.,Si c'était approprié que je le regrette.
"Ben disse, ch’i’ le feci gran carezza","Et il dit bien, que je lui ai fait de grandes caresses","Et il a dit juste, que je lui faisais de grands câlins"
"Sotto dal pino, ma non c’ancor vedesse","Sous le pin, mais il n'a pas encore vu","Personne sous le cèdre, mais il n'a encore vu personne."
Che Povertà no•m’avesse   in distrezza.,Que la Pauvreté ne m'avait pas mis en difficulté.,Que Miseria ne m'avait pas mis dans des situations problématiques.
"Al Die d’Amor ricordaro il fatto,","Au Dieu d'Amour, ils rapportèrent ce qui s'est passé,",Ils rapportèrent ce qui s'est passé au Divin de l'Amour.
E disser ch’e’ trovavar d’acordanza,Et ils ont dit qu'ils avaient un accord.,Et ils ont déclaré qu'ils étaient d'accord.
Che Falsenbiante e Costretta-Astinenza,Que Falsenbiante et Abstinence-Constrict,Ils sont partis ensemble que Falsenbiante et Astinence-Costre ont fait un départ commun.
Dessono a Mala Bocca scacco matto;,d'échecs fous à Malabocia;,Ils ont forcé Malabocia à se rendre.
Largheza e Cortesia traeser pacto,La largeur et l'aimableté ont conclu un pacte,La vasteté et la gentillesse ont conclu un accord.
"Con quella, che•ssa ben la vechia danza;","Avec celle-ci, qui aurait été bien dansée;","Avec celle-ci, qui aurait été bien jouée;"
E Pietate e Francheza dear miccianza,Et Pitié et Franchise s'unirent,Et Pitoyable et Honnêteté se firent
"A quello Schifo, che sta sì ’norsato;",à la Résistance qui est si arrogante,à la Résistance qui est si élevé
"E po’ vada Diletto e Ben-Cielare,","Et puis bien-aimé et Ben-Ciel,","qui étaient les plus joyeuxAlors bien-aimé et Ben-Cielare, qui étaient les plus joyeux."
