Original,Translate_es_1,Translate_es_2
"Di Gielosia, che m’à sì messo al basso».","de celos, que me ha depuesto.","De envidia, que me derribó."
Quella mi disse: «Tu•ssè mio ribello:,"Me dijo: ""Tú eres mi enemigo;","Me dijo: ""Tú eres mi adversario;"
"Per altra via andrai, ché sarà’ lasso","Por otro camino irás, porque estarás exhausto","Por otro camino irás, porque estarás exhausto"
Inanzi che n’abatti un sol crinello».,antes de derribar un mirlo de la torre,Antes de demoler una sola piedra de la torre
"Già no•mi valse nessuna preghera,",No hice ninguna oración.,No he rezado.
"Ched i’ verso Richeza far potesse,","que podría haber hecho hacia Richeza,","Que le debía que podía ofrecerle a Richeza, dada mi deuda con ella."
"Ché poco parve ch’e’ le ne calesse,",Porque parecía que no le importaba nada.,"Decidió irse porque parecía indiferente, y decidió irse."
Sì•lla trovai ver’ me crudel e fera.,Tan cruel la encontré hacia mí.,Tan malvada la encontré hacia mí.
"Lo Dio D’Amor, che guar’ lungi non m’era,","El Dios del Amor, que no estaba lejos de mí,","Me dio un gran alivio El Divino del Afecto, que no estaba lejos de mí, me dio un profundo consuelo."
"Mi riguardò com’io mi contenesse,",Miró lo bien que lo hacía.,Examinó cómo lo hacía.
E parvemi ched e’ gli ne incresciesse;,Pensé que le molestaba.,Y pensé que le molestaba.
"Si venne a me e disse: «In che manera,","Vino a mí y me dijo: ""De qué manera,","¿Puedo ayudarte?"" Vino a mí y me preguntó: ""¿Cómo puedo ser útil?"""
"Amico, m’ài guardato l’omanagio,","Tío, has cumplido tu juramento.","Amigo, has cumplido tu promesa."
"Che mi faciesti, passat’à un anno?».",¿Me hiciste hace un año?,¿Qué me hiciste hace un año?
"I’ gli dissi: «Messer, vo’ avete il gagio","Le dije: ""Señor, tienes mi promesa,","Le dije: ""Mi señor, tienes mi palabra, la guardaré."""
"Or, ch’è il core». «E’ non ti fia già danno,","Ahora que es mi corazón, no te hará daño.","Ahora que está en mi corazón, no te causará ningún daño."
Ché tu•tti sè portato come sagio:,"porque te has comportado sabiamente,","Has sido recompensado desde que has actuado con prudencia, has sido recompensado."
Sì avrai guiderdon del grande afanno».,Tendrás recompensa por tu gran angustia.,Tendrás recompensa por tu gran sufrimiento.
Lo Dio d’Amor per tutto ’l regnio manda,En todo el reino el Dios del Amor envía,"sus donesEn todo el reino, el Ser Supremo del Afecto envía sus beneficios."
Messagi e lettere a la Baronia:,mensajeros y cartas a todos los barones;,Enviar mensajeros y epístolas a todos los barones.
"Che davanti da lui ciaschedun sia,",Quienquiera que esté delante de él,Quienquiera que esté delante de él
"Ad alcun priega, e ad alcun comanda;",a algunos les pide y a algunos ordena,A algunas personas se les pide y a otras se les impone
"E ch’e’ vorrà far lor una domanda,","Querrá hacerles una pregunta,",Querrá hacerles una pregunta.
"La qual fornita converrà che•ssia,","La cual, suministrada, será necesario que sea,","La cual, suministrada, será indispensable que sea."
"D’abatter il castel di Gielosia,","Para destruir el castillo de Gielosia,",Aniquilar la mansión de Jelosia
Sì ch’e’ non vi dimori inn-uscio banda.,para que no haya más pandilla malvada que muera en ella.,para que no haya más tropas maléficas que vivan allí.
"Al giorno ciaschedun si presentò,","En el gran día, todos se presentaron,","En el gran evento, todos se materializaron."
Presto di far il su’ comandamento;,listo para ejecutar su comando;,disponible para obedecer su orden.
Dell’armadure ciaschedun pensò,Cada uno ha reflexionado sobre sus brazos,Cada uno ha meditado en sus miembros
Per dar a Gielosia   pene e tormento.,para darle a los celos tormento y celos.,Para infligir a celos sufrimiento y envidia.
"La Baronia   i’ sì vi nomerò,","La Baronia, que tengo en mente,","Es una gran propiedadLa Baronia, que me sobreviene, es una inmensa finca."
Secondo ched i’ ò   rimenbramento.,Te nombraré de acuerdo a lo que tengo en la memoria.,Te he diseñado sobre la base de lo que he memorizado.
"Madonna Oziosa venne la primiera,","Madonna Ociosa vino primero,","En busca de un sueño, la Sra. Pigra llegó primero, buscando una aspiración."
"Con Nobiltà-di-Chuor, e con Richezza,","con Nobleza-de-Chuor, y con Riqueza,","y con EsplendorCon Magnificencia, y con Abundancia, y con Brillancia."
"Franchigia, Cortesia, Pietà, Largheza,","Cordialidad, cortesía, misericordia, generosidad,","La benevolencia Amistad, la amabilidad y el tratamiento benévolo son los principios fundamentales que regulan nuestra interacción. Generosidad, misericordia, cortesía y benevolencia son las palabras clave para describir nuestra relación mutua."
"Ardimento, e Honor: ciaschedun v’era.",La audacia y el honor todos estaban allí,El atrevimiento y la dignidad estaban presentes en todos.
"Diletto et Conpagnia seguian la schiera,","El deleite y la Compañía seguían al ejército,",Satisfacción y Sociedad acompañaban a la procesión.
"Angielicanza, Sicurtà, et Leteza,","Angielicancia, Seguridad, y Leticia,","Angustia, protección y alegría."
"E Solazo, e Bieltate, e Giovaneza",y Alegría y Belleza y Juventud,"Alborozo, Esplendor y Juventud"
Andavan tutte inpresso la bandera.,Todos iban juntos bajo la bandera.,Procedían juntos bajo la bandera.
"Ancor v’era   Humiltate, e Pacienza,","También había humildad, y paciencia,",También había Humileza y Soportación.
"Giolività vi fue, e Ben-Cielare,","Hubo gozo, y bien-cielar","Hubo Letizia, y Bienaventuranza."
E Falsenbiante e Costretta-Astinenza.,y Falsidad y Abstinencia Forzada.,Inexactitud y Abnegación Configuración.
"Amor si cominciò a maravigliare,","El amor empezó a maravillarse,",El amor se encantó.
"Po’ vide Falsenbiante in sua presenza,","Entonces vio la Falsidad en su presencia,",Luego vio el Engaño en su cercanía.
E disse: «Chi•ll’à tolto a sichurare?».,"Y dijo: ""¿Quién la trajo aquí a salvo?","y preguntó: ""¿Quién ha traído aquí para salvación?"
"Astinenza Costretta venne avanti,","La abstinencia forzada vino adelante,",La abstinencia forzada fue ejercida.
"E disse: «E’ vien comeco in conpagnia,","Y dijo: ""Él viene en compañía,","Sí, y dijo: ""Vendrá acompañado, ¿verdad?"""
"Ché sanza lui civir non mi poria,","Porque sin él, no podría vivir.",Porque sin él no podría sobrevivir.
"Tanto non pregherei né Die, né ’ santi;",No oraría a Dios ni a los santos.,No rogaría a Dios ni a los bienaventurados.
"E’ me e sé governa co’ senbianti,","Es él y se gobierna con la apariencia,",Es él y se autodirige con la fachada.
"Che gli ’nsegniò sua madre, Ipocresia.","Que le enseñó a su madre, Hipocrisis.","Que le enseñó su madre, Fingimiento."
I’ porto il manto di Papalardia,Yo llevo la capa de Papalardia.,Yo llevo la capa de Papalardia.
"Per più tosto venir, a tenpo, a’ guanti.","Para llegar más rápido, a tiempo, a los guantes.","Para llegar más rápido, a tiempo, a los guantes."
E così tra noi due ci governiamo,Y así nos gobernamos entre nosotros.,Así que entre tú y yo nos controlamos en beneficio mutuo.
E nostra vita dimenian gioiosa,Y nuestra vida pasa gozosa,Y nuestra existencia vivimos alegremente
"Sanza dir cosa   mai, che noi pensiamo.",Nunca digas lo que pensamos.,Sin expresar nunca nuestros pensamientos.
"La ciera nostra par molto pietosa,","Nuestra cara parece muy lamentable,",Nuestra expresión es muy compasiva.
"Ma nonn-è mal nesun, che non pensiamo.","Pero no hay nada malo en ninguno de nosotros, que no pensamos.",No hay nada malo en ninguno de nosotros que no tengamos opiniones.
Ben paia•noi giente relegiosa».,Es bien vista por la gente religiosa.,Es acogida favorablemente por la gente devota.
"Lo Dio d’Amor sorise, quando udio",Dios de Amor sonrió cuando oyó,sus oraciones El Divino de Afecto soñó cuando escuchó sus súplicas.
"Astinenza-Costretta sì parlare,","Abstinencia-Costretta hablar así,",La eliminación forzada de hablar de esta manera.
E disse: «Qui à giente d’alt’affare!,Y dijo: 'Aquí hay gente de gran importancia!,"Y exclamó: ""¡Aquí hay una multitud de personas eminentes!"
"Dì, Falsenbiante, se•tt’aiuti Idio,","Di, Falsenbiante, si estás ayudado por Dios,","Exclama, Impositor, si eres asistido por Dios."
"S’i’ ti ritengnio del consiglio mio,","Si te mantengo en mi consejo,",Si te incluyo en mi círculo de consejeros.
Mi potrò io   in te punto fidare?».,¿Podré confiar en ti de ninguna manera?,¿Podré confiar en ti de alguna manera?
"«Segnior mio,   sì, di nulla non dottare,","Señor mío, sí, nunca me decepciones.","Dios mío, sí, nunca me abandones."
Ch’altro c’a lealtà ma’ non pens’io».,Porque nada me importa más que la lealtad.,Porque nada me es más valioso que la fidelidad.
«Dunqu’è cotesto contra tua natura».,Entonces esto va en contra de tu naturaleza.,Entonces eso contrasta con tu carácter.
"«Veracie mente ciò è veritate,","Sinceramente, eso es verdad.","Sinceramente, esto es un hecho."
Ma tuttor vi mettete inn-aventura!,¡Pero siempre se ponen en peligro!,¡Ustedes siempre se exponen a los riesgos!
"Mai i•lupo di sua pelle non gittate,",El lobo nunca se quita la piel.,Nunca el lobo se desvestió de su piel.
"No•gli farete tanto di laidura,",No le harás tanto daño.,No le infligiréis tanto sufrimiento.
Se voi in prima no•llo scorticate».,Si lo destrozan ahora mismo.,Peleadlo de inmediato.
"Amor disse a’ baroni: «I’ v’ò mandato,","El amor dijo a los barones: ""Os he enviado,","Pero no he vuelto.""Afecto dijo a los nobles: ""He enviado, pero no he vuelto."""
"Perch’e’ convien ch’i’ agia il vostro aiuto,","Porque necesito su ayuda,","Os pido que me ayudéis porque necesito vuestro apoyo, os ruego que me ayudéis."
"Tanto che quel castel si’ abattuto,",Para derribar ese castillo,Tardaron muchos años en derribar esa mansión.
Che Gielosia di nuovo à già fondato.,Que los celos ya han reconstruido.,Que Envidia ya ha reconstituido.
"Onde ciaschun di voi è misurato,","Así que cada uno de vosotros está llamado,","Por lo tanto, cada uno de ustedes es convocado."
S’i’ vi richegio ch’e’ sia proveduto,Si os estaciono que se os proveyere,Solicito que se lleve a cabo.
"Per voi in tal maniera, che tenuto","Para que no esté más en mi contra, sino que se incline.","Para que no sea más hostil hacia mí, pero se rinda."
"Non sia più contra me, ma si’ aterrato.","Puede que no esté más en mi contra, pero que esté nivelado en el suelo.","Puede que ya no esté en contraste conmigo, pero que sea bajado al suelo."
"Ch’e’ pur convien ch’i’ soccorra Durante,","De hecho, es necesario que rescate Durante,","De hecho, es imperativo que venga en ayuda de Durante."
"Chéd i’ gli vo’ tener sua promessione,","Porque quiero cumplir su promesa,","Me comprometo a cumplir su palabra, me comprometo."
Ché tropo l’ò trovato   fin Amante.,Porque lo encontré demasiado enamorado.,Porque lo encontré demasiado apasionado.
"Molto penò di torelmi Ragione,","Mucho ha sufrido para mantenerme en razón,",Mucho ha sufrido para conservar su Juicio.
"Que’, come sagio, fu sì fermo e stante","Pero él, como un sabio, ha sido tan firme y constante","Pero él, como un sabio, fue tan fuerte y estable."
Che no•lle valse nulla su’ sermone».,Que nada valió su discurso en su contra.,Todas sus palabras resultaron inútiles en su contra.
La Baronia sì fecie parlamento,La Baronia se puso a hablar,La Baronia se puso a distraer.
"Per devisar in che maniera andranno,","Para decidir cómo van a ir,","Necesitamos una reunión para determinar cómo proceder, necesitamos una reunión."
O la qual porta prima assaliranno;,¿O qué puerta atacarán primero?,¿Qué acceso será atacado principalmente?
Sì fur ben tutti d’un acordamento,Y todos estuvieron de acuerdo.,Fue unánimemente decidido.
"Fuor che Richeza,   che fe’ saramento","Excepto Riqueza, que hizo un juramento","Excepto Riqueza, que tomó una promesa"
"Ch’ella non prenderebe per me affanno,","Que no participaría en la empresa,",Que no se uniría a la empresa.
"Néd al castel non darebe già danno,","Tampoco causaría daño al castillo,",No habría causado lesiones en la casa.
"Per pregheria né per comandamento,","Ni por oración ni por orden,","No serás capaz de hacerlo ni por súplica ni por mandato, no serás capaz de hacerlo."
"Che nessuna persona far potesse,","Que nadie pudiera hacer,","Era imposible que nadie pudiera hacer eso, era inconcebible."
Perciò ch’i’ non volli anche sua contezza:,Porque ni siquiera quería mi consentimiento:,Porque ni siquiera quería mi aprobación.
"S’iera dritto, ch’i’ me ne pentesse.",Si tuviera que arrepentirme.,Si fuera apropiado que lo lamentara.
"Ben disse, ch’i’ le feci gran carezza","Y bien dijo, que le hice grandes caricias","Y dijo bien, que le hice grandes abrazos"
"Sotto dal pino, ma non c’ancor vedesse","Bajo el pino, pero no vio todavía","Nadie bajo el cedro, pero todavía no vio a nadie."
Che Povertà no•m’avesse   in distrezza.,Que la pobreza no me había metido en problemas.,Que Miseria no me había puesto en situaciones difíciles.
"Al Die d’Amor ricordaro il fatto,","Al Dios de Amor le contaron lo que había sucedido,",Dijeron lo que le pasó al Divino del Amor.
E disser ch’e’ trovavar d’acordanza,Y dijeron que habían llegado a un acuerdo.,Y dijeron que habían llegado a un consenso.
Che Falsenbiante e Costretta-Astinenza,Que Falsenbiante y Abstinencia-Costretta,Se han ido juntos que Falsenbiante y la abstinencia-Costretta han hecho una partida conjunta.
Dessono a Mala Bocca scacco matto;,Dejan jaque mate en Malabocia;,obligaron a Malabocia a rendirse.
Largheza e Cortesia traeser pacto,Ancho y cortesía hicieron un pacto,Vastidad y gentileza llegaron a un acuerdo.
"Con quella, che•ssa ben la vechia danza;","Con eso, que estaría bien bailando;","Con eso, que estaría bien exhibida;"
E Pietate e Francheza dear miccianza,Y la piedad y la Franqueza se unieron,Y Pedro y Honestidad se fundieron
"A quello Schifo, che sta sì ’norsato;",a la Resistencia que es tan arrogante,a la Resistencia que es tan alta
